country,value
Albania,18094
Algeria,144421
Angola,50225
Antigua and Barbuda,185
Argentina,4473
Australia,2498
Bahamas,193
Bahrain,197
Bangladesh,297832
Barbados,303
Belgium,19
Belize,14955
Benin,30816
Brazil,602121
Brunei Darussalam,746
Bulgaria,139
Cabo Verde,892
Cambodia,2149
Cameroon,65253
Canada,431
Chile,1277
China,2498228
Colombia,45388
Comoros,23771
Congo,9074
Costa Rica,4343
Cote d'Ivoire,55603
Croatia,3976
Cyprus,128
Democratic People's Republic of Korea,7865
Democratic Republic of the Congo,142
Denmark,121
Djibouti,3101
Dominica,370
Dominican Republic,79838
Ecuador,28725
Egypt,209725
El Salvador,7382
Equatorial Guinea,5130
Eritrea,4917
Estonia,133
Fiji,1987
Finland,383
France,1104
Gabon,2123
Gambia,11411
Georgia,423
Germany,1696
Ghana,103099
Greece,27021
Grenada,535
Guatemala,20626
Guinea,24402
Guinea-Bissau,10523
Guyana,15418
Haiti,76940
Honduras,25652
Iceland,14
India,928154
Indonesia,559428
Iran (Islamic Republic of),10281
Ireland,551
Israel,2263
Italy,5627
Jamaica,15283
Japan,3126
Kenya,7669
Kiribati,16
Kuwait,12490
Latvia,183
Lebanon,19062
Liberia,13685
Libya,72565
Lithuania,61
Madagascar,2108
Malaysia,321731
Maldives,108
Malta,89
Mauritania,2671
Mauritius,49
Mexico,29349
Micronesia (Federated States of),167
Montenegro,1768
Morocco,38348
Mozambique,68997
Myanmar,200820
Namibia,380
Netherlands,6135
New Zealand,109
Nicaragua,15511
Nigeria,477534
Norway,138
Oman,237
Pakistan,54530
Palau,37
Panama,14750
Papua New Guinea,33149
Peru,37769
Philippines,1572329
Poland,377
Portugal,610
Qatar,832
Republic of Korea,2366
Romania,1971
Russian Federation,20007
Saint Kitts and Nevis,27
Saint Lucia,1555
Saint Vincent and the Grenadines,456
Samoa,719
Sao Tome and Principe,1174
Saudi Arabia,3931
Senegal,18402
Seychelles,22
Sierra Leone,22893
Solomon Islands,24806
Somalia,2136
South Africa,24281
Spain,4962
Sri Lanka,39160
Sudan,10679
Suriname,11657
Sweden,471
Syrian Arab Republic,2792
Thailand,326310
Timor-Leste,5810
Togo,30301
Tonga,236
Trinidad and Tobago,32188
Tunisia,87293
Turkey,377678
Ukraine,27860
United Arab Emirates,2599
United Kingdom of Great Britain and Northern Ireland,6359
United Republic of Tanzania,115288
United States of America,16437
Uruguay,86096
Vanuatu,841
Venezuela (Bolivarian Republic of),224320
Viet Nam,449326
Yemen,34205
