Country,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100
Switzerland,langete_langenthal_geiserm,,14,Pebbels,,5,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,1,,,,,,,,,
Switzerland,langete_langenthal_geiserm,,14,Pebbels,,,,,,,,,,,,,,,,,,,,,,2,,9,,,1,,,2,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,19,1,1,,,,,1,,,,,,,,,,,,
Switzerland,langete_langenthal_geiserm,,14,Pebbels,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
Switzerland,langete_langenthal_geiserm,,14,Pebbels,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,
Switzerland,langete_langenthal_geiserm,,14,Pebbels,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Beach in the Karolino-Bugaz (2),Black Sea,106,Sandy,,33,15,,,12,,,,3,,,,,,,,26,,7,4,2,,8,,,9,21,3,3,,2,1,1,,,,1,,,,,,17,,,,,,,,,,,,,1,1,,,,,,,,,22,,,,,,,1,,3,,,,,20,5,,,1,1
,Glænø Stenfed,Baltic Sea,488,Sandy,,0,0,,0,1,,0,,,,,,,,,,2,,,,,,19,,,7,,,1,0,0,,,,,,,,0,,,1,5,,0,1,,,,1,,,,,,1,,,,1,,,1,0,,5,,14,,,,,,,,1,,,,0,3,,,,
Germany,rhein_laag_jungbluthn,,163,Rocky,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"307 Avenue du Port de Plaisance, 83000 Toulon, France",Mediterranean Sea,150,,,60,,,55,10,,200,,,3,,,,,,,20,,,,,10,100,,,50,10,,10,20,3,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,15
Italy,"Spiaggia a Marina di Stabia, Castellammare di Stabia (NA)",Mediterranean Sea,100,,10,70,30,,65,85,120,,,30,,20,5,15,20,7,3,300,,,,,20,,12,,25,,,40,,,6,15,,,4,15,,8,,25,,,,,,,,,,,6,,,,,,,40,15,7,,20,3,,,,,,,,,,,,,,,,,,,,,15
Italy,Vibo Marina,Mediterranean Sea,99,,28,10,10,10,28,28,2,28,2,2,,,,,15,,,28,28,28,28,15,15,,,1,28,28,,28,28,28,24,24,1,1,,,15,,,15,,,,,,,,5,,,1,1,1,,,24,24,24,15,1,15,24,,,15,15,531,531,,15,15,15,15,15,,15,,,,,,,,1
Romania,Corbu,Black Sea,104,Sandy,,3,22,,1,6,1,2,,,,,,,,2,,16,3,7,,1,,3,,,20,1,1,9,,1,1,,,,,,,,,,3,,1,,,,,,,,,,,2,,7,,,,,,6,,,18,,4,,,,,,,,,,,2,2,,,,,1
Romania,Corbu,Black Sea,104,Sandy,,10,8,1,3,12,,,,,,,,,,,,,,6,,,1,,,,7,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,9,,4,,,,,,,,,,,,,,,,,
Romania,Corbu,Black Sea,104,Sandy,,,2,,1,13,,,,1,5,,,,,,,,,3,,10,2,22,,,,,,,,3,,,,,,,,,,,,17,,,,,,,,,,,,,1,43,,,,1,,2,,,35,,,,,,,,,,,,,,2,,,1,,2
Romania,Corbu,Black Sea,104,Sandy,,,21,7,2,2,,3,3,,,,,,,,,22,5,4,6,2,,75,,,41,1,2,16,,4,7,,,,,,,,,,3,,,,3,1,,,,,,,,1,1,,,,,,,1,2,,9,,3,,,,,1,,,,,,1,9,,,,,
Spain,"Itzurun, Gipuzkoa",North-east Atlantic Ocean,100,Rocky,,,,,1,,,,,,,1,,,,,,8,,,,,,1,,,3,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,0,,,,,,,,,2,1,,,,,,,,,28,,,,10,0,,,,
Spain,"Pereiro, Pontevedra",North-east Atlantic Ocean,100,Rocky,,1,,,2,,1,1,,,,,,,,,,1,,,,,,3,,,1,,,,,2,,,,,,,,,,,,1,2,,,,,,2,,,,,,,2,,,,,,2,,,5,2,,,,,,,,,,,,,1,2,,,,
Italy,Caorle spiaggia Brussa,Mediterranean Sea,99,,1,,,,1,1,,1,,,,,,,1,,,1,1,1,1,1,,54,,,1,1,,1,1,1,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,2,2,,1,1,1,1,1,,1,,,,,,,,
Denmark,MSFD Langerak,North-east Atlantic Ocean,100,Sandy,,2,11,,1,1,2,,,,2,,,,,,1,1,2,,,,,,,,11,,1,,,3,,2,,1,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,8,,,69,1,18,,,,,1,,,,,,,,,,,,
Denmark,MSFD Langerak,North-east Atlantic Ocean,100,Sandy,,5,9,,,,,4,,,,,,,,,,4,2,1,,4,,,1,,24,,4,1,,1,,2,,,,,,,,,,4,,,,,,,,,,,,,1,103,1,,4,,,17,,,15,1,6,,1,,,,,,,,,,,2,,1,,1
Denmark,MSFD Langerak,North-east Atlantic Ocean,100,Sandy,,7,14,,1,1,,3,,,,,,1,3,,,5,3,3,,,,,,,52,1,2,3,,4,,2,,,,1,,,,,,7,,,,,,,,,,,,,3,6,,1,6,,,142,,,180,6,66,,,,,2,,,1,,,,2,,,,,
Denmark,MSFD Langerak,North-east Atlantic Ocean,100,Sandy,,13,13,,2,1,,3,,,1,,,,,,2,3,5,2,1,6,1,,,,40,,1,6,,3,3,3,,2,,,,,,,1,7,,,,,,,,,,,,,6,20,1,,7,,,163,,,114,1,26,,,,,1,,,,,,,1,1,,,,
Spain,"193 N-332, 03189 Orihuela, Espagne",Mediterranean Sea,89,,,,,,5,,,10,,,,,,,,,,,,,,,,20,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Buggerru Via Diaz Rifornitore Q8, 09010 Buggerru CI, Italia",Mediterranean Sea,350,,,2,,,1,3,,4,,,3,,,,,,,21,,,,,1,30,,,,4,,,,2,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,2,1,,,,,4,,2,,,,,,,,,,,,10,,,,,3
,"Unnamed Road, 40220 Tarnos, France",North-east Atlantic Ocean,150,,,400,,,30,10,,110,,,50,,,,,,,20,,,,,,30,,,150,5,20,20,2,5,,,,,,,,,,,,40,,,,45,,,2,,,,,,,,,,,,,,,,1000,,60,,,,,,,,,,,,5,,,,,10
Portugal,Praia do Torrão,North-east Atlantic Ocean,746,Sandy,,56,,,122,10,,54,,,,,,,,,,171,,,,1,,631,,,152,222,43,77,55,75,,,,,,,,,,,,40,,484,,,,,76,,,,,,,,,,,,,235,778,,66,,489,,,,,,,,,,,,919,,,,,80
Portugal,Praia do Torrão,North-east Atlantic Ocean,746,Sandy,,46,11,,186,173,,71,8,4,4,,,1,2,,,44,,18,11,,15,235,10,1,44,41,3,66,1,36,,12,,4,,,,,,,12,43,,9,1,2,,,9,2,13,,,1,,,,,1,22,,145,94,390,180,38,158,60,,4,,,,2,,1,68,,63,,3,4,9,30
Italy,"117 Via Rio Marina, 00054 Fregene, Italie",Mediterranean Sea,83,,,,,,7,18,,,,,,,,,,,,27,,,,,5,42,,,,,3,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,3,,,,,4,,7,,,,,,,,,,,,150,,,,,3
Denmark,Hellerup Strand,North-east Atlantic Ocean,93,,0,0,4,0,0,0,0,1,0,0,0,0,0,0,,0,,8,0,1,1,2,0,47,1,0,4,0,1,0,1,4,0,0,1,0,,0,,0,,,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,7,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Italy,"Spiaggia di San Leonardo, Cutro (KR)",Mediterranean Sea,100,,,3,,,,9,2,,,2,,,,,,,,7,2,,,3,,,,,,,,10,,,,,,,,,,,,,,,,,,,,2,,,2,1,,1,2,,,,,,,,,,7,,3,1,,,,,,,,,,,,,,,,
Denmark,Tisvildeleje,North-east Atlantic Ocean,428,Sandy,,0,9,,0,2,,0,,,,,,,,,,4,,,,1,,26,1,,12,3,2,14,3,14,,,,,,,,0,,,1,6,,0,,,,,1,1,,,,,,,,,2,,,5,0,,6,,0,,,,,,,,,,,,0,,,,,
Spain,playa de los arenales,North-east Atlantic Ocean,786,Sandy,,95,53,,37,26,,51,,,,,,,,,,23,,,,,,156,,,22,,,,4,96,,,,,,,,33,,,,41,,,,,,,,,,,,,,,,,,,,22,21,,,,12,,,,,,,,,,,,43,,,,,
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,3,1,,,,,1,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,3,,,1,,,13,,4,,,,,1,,,,,,,2,,,,,
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,1,1,,1,,1,,,,,,,,,,,3,,1,,,,,,,4,,1,1,,,,,,,,,,,,,1,6,,1,1,,,,,,,,,,1,,,,3,,,6,,,8,,17,,,,,,,2,,2,,,3,1,,,1,
Spain,"Passeig de la Ribera, 14, 08870 Sitges, Barcelona, Spain",Mediterranean Sea,150,,,,,,6,4,,,,,,,,,,,,60,,,,,2,250,,,,5,6,6,27,18,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,
Spain,"Pto La Alcaidesa , Cádiz",Mediterranean Sea,100,Sandy,,3,,,6,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,2,1,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Switzerland,bodensee_thal_schlachterj_1,,32,,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,8,0,,2,2,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,2,,,0,0,,,,,0,0,1,0,,,,0,,0,0,0,,0,0,0,,,0,0
Switzerland,bodensee_thal_schlachterj_1,,32,,,0,0,,0,0,,1,,,0,,,,,,,2,0,0,0,0,0,3,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,1,0,0,,,0,0,,,,,5,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0
Switzerland,sihlsee_einsiedeln_schilligerllacherl,,66,,,0,1,,3,0,,1,,,0,,,,,,,1,0,2,0,3,0,26,0,,7,1,0,3,0,0,,0,,,,,,,,,0,2,0,,,,,,0,,,,,0,0,1,,,0,0,,,,,6,2,0,0,,,,2,,0,0,0,,0,0,1,,,0,0
Switzerland,sihlsee_einsiedeln_schilligerllacherl,,66,,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,12,0,,3,1,0,1,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,10,1,0,0,,,,0,,0,0,0,,0,0,0,,,0,0
Switzerland,sihlsee_einsiedeln_schilligerllacherl,,66,,,0,2,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,1,0,,4,0,0,0,0,0,,0,,,,,,,,,0,1,0,,,,,,0,,,,,0,0,1,,,0,0,,,,,3,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0
Switzerland,sihlsee_einsiedeln_schilligerllacherl,,66,,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0
Switzerland,Thur_Schoenenberg_SchaerA,,96,Other (mixed),,0,0,,0,0,,0,,,1,,,,,,,0,0,0,0,0,1,41,0,,1,0,0,0,0,1,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,3,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0
Switzerland,Thur_Schoenenberg_SchaerA,,96,Other (mixed),,1,,,1,,,,,,,,,,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Switzerland,Thur_Schoenenberg_SchaerA,,96,Other (mixed),,,19,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,
Switzerland,Thur_Schoenenberg_SchaerA,,96,Other (mixed),,0,3,,0,0,,0,,,0,,,,,,,0,0,0,0,2,0,24,0,,0,0,0,1,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,1,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0
Spain,"Les Coves, Barcelona",Mediterranean Sea,100,Sandy,,5,,,5,,,,,,,,,,,,,18,,,,,,23,,,29,,,,,10,,,,,,,,,,,,5,2,,,,,,2,,,,,,6,0,,,,,,,,,22,,,,,,,,,,,,,,,6,,,,
,"Vieille ville de, Barcelona, Espa?a",Mediterranean Sea,150,,,30,,,1,2,,,,,,,,,,,,35,,,,,,214,,,,15,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,,3,,,,,,,,,,,,117,,,,,
France,"Kernavéno Crozon, 29160 Crozon, France",North-east Atlantic Ocean,74,,,70,,,,5,,20,,,,,,,,,,60,,,,,4,20,,,40,30,,,,,,,,,,,,,,,,200,,,,80,,,,,,,,,,,,,8,3,,,,,80,,40,,,,,,,,,,,,20,,,,,
France,"Plages de Corbi?res, 13016 Marseille, France",Mediterranean Sea,350,,,,,,32,40,,,,,,,,,,,,,,,,,2,210,,,,,,22,,40,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,"Strandopgang Molenslag Ter Heijde, 2684 Ter Heijde, Pays-Bas",North-east Atlantic Ocean,68,,,6,,,,,,16,,,,,,,,,,14,,,,,1,,,,5,,,,,,,,,,,,,,,,,22,,,,17,,,,,,,,,,,,,,,,,,,64,,5,,,,,,,,,,,,2,,,,,
Spain,"Benítez (segundo tramo), Ceuta",Mediterranean Sea,100,Sandy,,5,,,4,,,2,,,,,,,,,,28,,,,,,,,,18,,,,,22,,,,,,,,,,,,5,1,,,,,,,,,,,,,3,,,,,,,,,54,,,,,,,,,,,,,,,0,,,,
Spain,"Benítez (segundo tramo), Ceuta",Mediterranean Sea,100,Sandy,,31,,,3,,,5,,,,,,,,,,12,,,,,,11,,,16,,,,,10,,,,,,,,,,,,3,,,,,,,,,,,,,,13,,,,,,13,,,15,,,,,,,,,,,,,,8,2,,,,3
,"3 Route de Ste Anne, 29550 Plon?vez-Porzay, France",North-east Atlantic Ocean,750,,,5,,,2,,,10,,,2,,,,,,,5,,,,,,20,,,5,,,,,,,,,,,,,,,,,50,,,,1000,,,100,,,,,,,,,,2,1,,,,,2,,,,,,,,,,,,,,,,,,,
Spain,"Nuevo Portil, Huelva",North-east Atlantic Ocean,100,Sandy,,2,,,2,,,1,,,,,,,,,,4,,,,,,98,,,46,,,,,7,,,,,,,,,,,,8,4,,,,,,,,,,,,,3,,,,,,,,,13,,,,,,,,,,,,,,,5,,,,1
Italy,"Spiaggia di Marechiaro, Anzio (RM)",Mediterranean Sea,100,,,5,24,,7,18,15,,,16,,,,,,2,1,49,,,,,,,,,,,,,23,,,,,,9,,,5,,,,10,,5,5,3,,1,12,,1,,,,,5,,,,4,,5,91,5,,,,,,,,,,,,,,,,,,,,
Bulgaria,durankulak,Black Sea,249,Sandy,7,15,6,3,13,19,1,9,4,3,,1,,1,1,1,,22,,,8,2,,102,,,13,1,,175,,11,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,49,5,,,,,,,,,,3,,,,2,2,,,,,
Switzerland,langete_langenthal_geiserm,,14,Pebbels,,,2,,,,,,,,,,,,,,,,1,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,
Switzerland,langete_langenthal_geiserm,,14,Pebbels,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
Switzerland,langete_langenthal_geiserm,,14,Pebbels,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
Italy,Riserva naturale regionale della Sentina San Benedetto del Tronto (AP),Mediterranean Sea,100,,2,5,2,,3,15,3,,1,2,,,,,,,,2,2,1,1,,2,10,2,,,4,,1,,,,,,,,,,5,,,3,1,,,,1,,1,,,,,,,2,,,,1,,,,,,15,2,18,2,,,,,,,1,,,,,,,,,2
France,Le Havre,North-east Atlantic Ocean,152,Rocky,,5,,,6,,,2,,,,,,,,,,19,,,,,2,,,,,2,,5,,11,,,,,,,,,,,,48,,,,3,,,,,,,,,,,,,,10,,,23,,3,,,,,,,,,,,,,,,,,,,1
Spain,"Valcobo, A Coruña",North-east Atlantic Ocean,100,Sandy,,3,,,4,,,2,,,,,,,,,,84,,,,,,8,,,,,,,,1,,,,,,,,,,1,,61,7,,,,,,,,,,,,,17,,,,,,17,,,103,4,,,,,,,,,,,,,211,5,,,,2
Italy,Tarquinia,Mediterranean Sea,99,,7,10,10,10,7,7,2,7,2,2,2,2,2,2,17,2,,7,7,7,7,17,2,5,1,1,7,7,,7,7,7,,,,,,,17,,,17,1,1,1,1,1,1,1,,1,,,,,2,,,,,17,1,17,,,,17,17,5,5,,17,17,17,17,17,2,17,1,,186,1,5,1,2,4
Spain,Famara,North-east Atlantic Ocean,86,Sandy,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,0,,,,,
Italy,"Lido di Macchia - Porto degli Argonauti, Pisticci (MT)",Mediterranean Sea,100,,1,8,1,,3,15,4,2,2,5,2,,2,3,1,2,,12,2,3,5,,,,,,2,,2,14,1,3,,6,,,,2,,2,,,,,,3,2,,,,,,2,,1,1,4,12,2,,,2,,2,,,25,8,20,3,,,1,,,,1,,,,,,,,,
Switzerland,Rhein_Hemishofen_StollL,,33,Pebbels,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,1,,0,0,0,,0,0,0,,,0,0
Switzerland,Rhein_Hemishofen_StollL,,33,Pebbels,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"2 Place de la Concorde, 33680 Lacanau, France",North-east Atlantic Ocean,78,,,50,,,,50,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,100,,,,,
Spain,"Punta Entinas Sabinar, Almería",Mediterranean Sea,100,Sandy,,13,,,32,,1,24,,,,,,,,,,37,,,,,,390,,,144,,,,,59,,,,,,,,,,16,,64,20,,,,,,,,,,,,7,2,,,,,,2,,,500,7,,,,,,,,,,,,,,0,,,,
France,"10 Rue Paul-Emile Victor, 14150 Ouistreham, France",North-east Atlantic Ocean,72,,,18,,,24,32,,34,,,,,,,,,,75,,,,,15,,,,21,,5,15,5,,,,,,,,,,,,,10,,,,4,,,,,,,,,,,,,37,5,,,,,,,24,,,,,,,,,,,,,,,,,3
Germany,rhein_laag_jungbluthn,,163,Rocky,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,rhein_laag_jungbluthn,,163,Rocky,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,rhein_laag_jungbluthn,,163,Rocky,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Germany,rhein_laag_jungbluthn,,163,Rocky,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Germany,rhein_laag_jungbluthn,,163,Rocky,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Bele Skale 1 MLW Month,Mediterranean Sea,95,Pebbels,,3,,,3,2,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Bele Skale 1 MLW Month,Mediterranean Sea,95,Pebbels,,49,,,13,13,,70,,,,,,,,,,44,,,,2,4,515,,,,,,8,2,13,,,,,,,,15,,,,28,,12,,,,,,,3,,,,,,,,,,,,,,201,,362,,,,,1,,,,,,4,9,,,,,
Tunisia,"Corniche S, Hammam Lif, Tunisie",Mediterranean Sea,750,,,46,,,63,2,,56,,,21,,,,,,,241,,,,,10,310,,,11,1,,43,3,44,,,,,,,,,50,,,3,,,,15,,,4,,,,,,,,,,,5,,,,,13,,1,,,,,,,,,,,,1,,,,,2
Switzerland,reuss_hünenberg_eberhardy,,28,Other (mixed),,1,,,1,,,,,,,,,,,,,,,,1,,,7,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,2,,,,,4,,1,,,,,,,2,,2,,,1,,,,,
Switzerland,reuss_hünenberg_eberhardy,,28,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,15,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,
Switzerland,reuss_hünenberg_eberhardy,,28,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Switzerland,reuss_hünenberg_eberhardy,,28,Other (mixed),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,
Switzerland,reuss_hünenberg_eberhardy,,28,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,11,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1
Denmark,MSFD Langerak,North-east Atlantic Ocean,100,Sandy,,2,14,,,,,3,,,2,,,,,,,1,,1,1,,,,,,9,,1,4,,4,,,,,,1,,,,,2,12,,,,,,,,,1,,,1,1,1,,,7,,,60,,,204,2,12,,,,,,,2,,,,,,,,,,
Denmark,MSFD Langerak,North-east Atlantic Ocean,100,Sandy,,35,49,,5,3,1,39,,1,1,,,,1,1,4,11,4,5,2,34,2,1,1,,137,1,5,18,1,16,,6,8,1,,1,,,,,8,54,,,,,,,,,1,,,1,15,179,1,,15,3,,113,,,788,1,121,,1,,,8,,3,5,1,,,21,8,,,,
Denmark,MSFD Langerak,North-east Atlantic Ocean,100,Sandy,,2,3,,,,,6,,,,,,,1,,,5,4,1,,2,,,,,17,1,,3,,,,,,,,,,,,,,14,,,,,,,,,,,,,5,32,,,8,,1,20,,,85,,5,,,,,2,,,,,,,6,3,,,,
Denmark,MSFD Langerak,North-east Atlantic Ocean,100,Sandy,,4,5,,1,,1,,,,1,,,,,,,1,1,1,,1,1,,,,26,,1,2,,1,,1,,2,,1,,,,,,7,,,,,,,,,,,,,,11,,,6,,,31,,,89,1,7,,,,,1,,,1,,,1,,1,,,,1
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,,4,,,,,2,,,,,,,,,,1,,,,,,1,,,3,,2,3,,1,,1,,,,,,,,,1,2,,,,,,,,,1,1,,,1,2,,,1,,,5,,,8,,4,,,,,1,,,,,,,1,,,,,
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,2,,,3,,,3,,,,,,,,,,,,,,1,,,,,
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,1,,,,,,4,,3,,,,,,,,,,,,1,2,,,,
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,2,1,,1,,,,,,,,,,,,,1,,,,2,1,3,,,5,,1,2,,1,1,,,,,,,,,,,5,,,,1,,,,,,,,,,,,,4,,,2,,,7,,1,,,,,2,,,,,,,,,,,,
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,3,,,3,,,6,,3,,,,,1,,,,,,,,1,,,,
Switzerland,bodensee_thal_schlachterj_1,,32,,,1,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,11,1,,2,0,0,0,0,1,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,6,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0
France,"23 Boulevard Aristide Briand, 14150 Ouistreham, France",North-east Atlantic Ocean,72,,,6,,,5,2,,,,,,,,,,,,50,,,,,5,120,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Kvavilnari,Black Sea,50,Sandy,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Kvavilnari,Black Sea,50,Sandy,,,,,160,,35,8,,9,,,,,,2,,90,,,,,,,,,,,,56,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,140,,,,60,,,,,,,,,,,,,,,,1,17
Switzerland,Sihl_Menzingen_Kucharska_Magdalena,,50,Pebbels,,,1,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
