country,value
Albania,20157
Algeria,175154
Angola,54660
Antigua and Barbuda,144
Argentina,5804
Australia,2857
Bahamas,159
Bahrain,213
Bangladesh,328407
Barbados,297
Belgium,23
Belize,16134
Benin,32843
Brazil,638401
Brunei Darussalam,714
Bulgaria,148
Cabo Verde,963
Cambodia,2342
Cameroon,69544
Canada,398
Chile,1669
China,2777198
Colombia,45131
Comoros,24046
Congo,9595
Costa Rica,4420
Cote d'Ivoire,58930
Croatia,4153
Cyprus,142
Democratic People's Republic of Korea,9765
Democratic Republic of the Congo,154
Denmark,144
Djibouti,3079
Dominica,377
Dominican Republic,76807
Ecuador,30727
Egypt,226065
El Salvador,9136
Equatorial Guinea,5464
Eritrea,5231
Estonia,147
Fiji,2391
Finland,436
France,1257
Gabon,2256
Gambia,12875
Georgia,464
Germany,2071
Ghana,109255
Greece,29143
Grenada,565
Guatemala,20833
Guinea,26011
Guinea-Bissau,11295
Guyana,13978
Haiti,81969
Honduras,28464
Iceland,19
India,990595
Indonesia,514480
Iran (Islamic Republic of),11172
Ireland,556
Israel,2558
Italy,6808
Jamaica,16467
Japan,3077
Kenya,7403
Kiribati,16
Kuwait,13079
Latvia,213
Lebanon,21415
Liberia,14729
Libya,81878
Lithuania,72
Madagascar,2247
Malaysia,328763
Maldives,95
Malta,110
Mauritania,2875
Mauritius,58
Mexico,33514
Micronesia (Federated States of),181
Montenegro,1928
Morocco,42304
Mozambique,73396
Myanmar,215575
Namibia,406
Netherlands,7261
New Zealand,100
Nicaragua,17465
Nigeria,510822
Norway,171
Oman,271
Pakistan,56223
Palau,53
Panama,16575
Papua New Guinea,38027
Peru,40715
Philippines,1703846
Poland,441
Portugal,698
Qatar,890
Republic of Korea,3200
Romania,1972
Russian Federation,22549
Saint Kitts and Nevis,24
Saint Lucia,1538
Saint Vincent and the Grenadines,488
Samoa,784
Sao Tome and Principe,1283
Saudi Arabia,4199
Senegal,20062
Seychelles,21
Sierra Leone,24562
Solomon Islands,28514
Somalia,2151
South Africa,31931
Spain,5827
Sri Lanka,40800
Sudan,11249
Suriname,10135
Sweden,587
Syrian Arab Republic,3197
Thailand,345754
Timor-Leste,6094
Togo,32647
Tonga,251
Trinidad and Tobago,33384
Tunisia,99877
Turkey,404409
Ukraine,28229
United Arab Emirates,2744
United Kingdom of Great Britain and Northern Ireland,6821
United Republic of Tanzania,111054
United States of America,17131
Uruguay,110834
Vanuatu,975
Venezuela (Bolivarian Republic of),227809
Viet Nam,493432
Yemen,36032
