country,value
Albania,18500
Algeria,157950
Angola,52877
Antigua and Barbuda,172
Argentina,4847
Australia,2920
Bahamas,179
Bahrain,204
Bangladesh,315751
Barbados,302
Belgium,16
Belize,15383
Benin,32298
Brazil,639659
Brunei Darussalam,797
Bulgaria,121
Cabo Verde,975
Cambodia,2212
Cameroon,67708
Canada,421
Chile,1447
China,2683611
Colombia,47505
Comoros,24690
Congo,9476
Costa Rica,4384
Cote d'Ivoire,57394
Croatia,3963
Cyprus,123
Democratic People's Republic of Korea,8873
Democratic Republic of the Congo,149
Denmark,125
Djibouti,3401
Dominica,408
Dominican Republic,83120
Ecuador,29678
Egypt,208319
El Salvador,7504
Equatorial Guinea,5328
Eritrea,5677
Estonia,125
Fiji,2340
Finland,397
France,1105
Gabon,2199
Gambia,12178
Georgia,424
Germany,1899
Ghana,107906
Greece,25983
Grenada,553
Guatemala,19015
Guinea,25167
Guinea-Bissau,10819
Guyana,15235
Haiti,84237
Honduras,26859
Iceland,15
India,966437
Indonesia,599014
Iran (Islamic Republic of),10750
Ireland,508
Israel,2368
Italy,5930
Jamaica,16260
Japan,3208
Kenya,7941
Kiribati,16
Kuwait,12740
Latvia,211
Lebanon,19419
Liberia,14220
Libya,73477
Lithuania,72
Madagascar,2132
Malaysia,332752
Maldives,102
Malta,107
Mauritania,2845
Mauritius,53
Mexico,31004
Micronesia (Federated States of),167
Montenegro,1804
Morocco,44086
Mozambique,72578
Myanmar,209493
Namibia,387
Netherlands,6488
New Zealand,109
Nicaragua,15199
Nigeria,496837
Norway,130
Oman,258
Pakistan,53640
Palau,41
Panama,16346
Papua New Guinea,36164
Peru,39863
Philippines,1695243
Poland,439
Portugal,702
Qatar,868
Republic of Korea,2865
Romania,1825
Russian Federation,20769
Saint Kitts and Nevis,29
Saint Lucia,1591
Saint Vincent and the Grenadines,466
Samoa,809
Sao Tome and Principe,1255
Saudi Arabia,4099
Senegal,19569
Seychelles,23
Sierra Leone,23826
Solomon Islands,27939
Somalia,2371
South Africa,30352
Spain,5708
Sri Lanka,41648
Sudan,11308
Suriname,11589
Sweden,514
Syrian Arab Republic,3019
Thailand,338682
Timor-Leste,6238
Togo,31773
Tonga,246
Trinidad and Tobago,35244
Tunisia,89175
Turkey,354437
Ukraine,25859
United Arab Emirates,2659
United Kingdom of Great Britain and Northern Ireland,6242
United Republic of Tanzania,114736
United States of America,16909
Uruguay,94544
Vanuatu,997
Venezuela (Bolivarian Republic of),231129
Viet Nam,484452
Yemen,35625
