country,value
Albania,16481
Algeria,153459
Angola,48632
Antigua and Barbuda,175
Argentina,4135
Australia,2522
Bahamas,217
Bahrain,189
Bangladesh,289594
Barbados,308
Belgium,24
Belize,14421
Benin,29451
Brazil,583089
Brunei Darussalam,650
Bulgaria,90
Cabo Verde,821
Cambodia,1875
Cameroon,62408
Canada,367
Chile,1212
China,2290405
Colombia,41534
Comoros,23664
Congo,8585
Costa Rica,3992
Cote d'Ivoire,53881
Croatia,3437
Cyprus,128
Democratic People's Republic of Korea,8780
Democratic Republic of the Congo,138
Denmark,141
Djibouti,2827
Dominica,338
Dominican Republic,75791
Ecuador,27519
Egypt,222297
El Salvador,7532
Equatorial Guinea,4904
Eritrea,4850
Estonia,127
Fiji,2060
Finland,380
France,1136
Gabon,2025
Gambia,10135
Georgia,315
Germany,1928
Ghana,98997
Greece,26962
Grenada,533
Guatemala,21123
Guinea,23307
Guinea-Bissau,9397
Guyana,14021
Haiti,73756
Honduras,25202
Iceland,9
India,861003
Indonesia,512163
Iran (Islamic Republic of),9780
Ireland,543
Israel,2416
Italy,5748
Jamaica,15047
Japan,3182
Kenya,7266
Kiribati,16
Kuwait,11706
Latvia,196
Lebanon,19799
Liberia,13202
Libya,74196
Lithuania,70
Madagascar,1991
Malaysia,294932
Maldives,102
Malta,97
Mauritania,2471
Mauritius,50
Mexico,29054
Micronesia (Federated States of),148
Montenegro,1599
Morocco,36224
Mozambique,67216
Myanmar,186365
Namibia,334
Netherlands,7406
New Zealand,115
Nicaragua,14843
Nigeria,456575
Norway,137
Oman,223
Pakistan,51192
Palau,37
Panama,14069
Papua New Guinea,31627
Peru,36114
Philippines,1416321
Poland,434
Portugal,477
Qatar,793
Republic of Korea,2739
Romania,1267
Russian Federation,19921
Saint Kitts and Nevis,26
Saint Lucia,1554
Saint Vincent and the Grenadines,426
Samoa,753
Sao Tome and Principe,1163
Saudi Arabia,3735
Senegal,16530
Seychelles,20
Sierra Leone,21909
Solomon Islands,23945
Somalia,2064
South Africa,22487
Spain,5137
Sri Lanka,37725
Sudan,10176
Suriname,10450
Sweden,533
Syrian Arab Republic,3010
Thailand,288247
Timor-Leste,5179
Togo,29260
Tonga,229
Trinidad and Tobago,31615
Tunisia,90765
Turkey,336150
Ukraine,20963
United Arab Emirates,2450
United Kingdom of Great Britain and Northern Ireland,6695
United Republic of Tanzania,115062
United States of America,15630
Uruguay,77417
Vanuatu,868
Venezuela (Bolivarian Republic of),209928
Viet Nam,421669
Yemen,30194
