
Country Name, Tons Exported, End in the Ocean, End in the beach, 
,,,,Tons to Mozambique, 41.0,From Madagascar, 0.0,
,,,,Tons to Falkland Islands, 39.0,
,,,,Tons to New Zealand, 8.0,
,,,,Tons to Tanzania, 6.0,
,,,,Tons to Mauritius, 6.0,
,,,,Tons to India, 4.0,
,,,,Tons to Kenya, 3.0,
,,,,Tons to Indonesia, 3.0,
,,,,Tons to Chile, 2.0,
,,,,Tons to Reunion, 1.0,
,,,,Tons to Yemen, 1.0,
,,,,Tons to Myanmar, 1.0,
,,,,Tons to Thailand, 1.0,
,,,,Tons to Somalia, 0.0,
,,,,Tons to Oman, 0.0,
,,,,Tons to Sri Lanka, 0.0,
,,,,Tons to Bangladesh, 0.0,
,,,,Tons to Saudi Arabia, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
australia, 1623, 432.0, 1192.0 
,,,,Tons to Papua New Guinea, 391.0,From Solomon Islands, 3350.0,
,,,,Tons to Australia, 381.0,From Philippines, 1612.0,
,,,,Tons to Indonesia, 246.0,From South Africa, 1340.0,
,,,,Tons to New Zealand, 67.0,From Indonesia, 1168.0,
,,,,Tons to Madagascar, 15.0,From Peru, 873.0,
,,,,Tons to Kenya, 11.0,From Papua New Guinea, 849.0,
,,,,Tons to Mozambique, 10.0,From Mozambique, 634.0,
,,,,Tons to Saudi Arabia, 8.0,From Fiji, 568.0,
,,,,Tons to Philippines, 8.0,From Brazil, 565.0,
,,,,Tons to Tanzania, 7.0,From Australia, 381.0,
,,,,Tons to India, 6.0,From Vanuatu, 235.0,
,,,,Tons to South Africa, 5.0,From Samoa, 174.0,
,,,,Tons to Vietnam, 5.0,From Chile, 164.0,
,,,,Tons to Myanmar, 4.0,From Panama, 148.0,
,,,,Tons to Chile, 4.0,From Malaysia, 137.0,
,,,,Tons to Thailand, 3.0,From Uruguay, 125.0,
,,,,Tons to Somalia, 3.0,From Vietnam, 91.0,
,,,,Tons to Sri Lanka, 3.0,From Tonga, 74.0,
,,,,Tons to Taiwan, 3.0,From Nicaragua, 54.0,
,,,,Tons to Yemen, 2.0,From China, 52.0,
,,,,Tons to New Caledonia, 2.0,From India, 49.0,
,,,,Tons to Malaysia, 2.0,From Argentina, 44.0,
,,,,Tons to Laos, 2.0,From Guatemala, 32.0,
,,,,Tons to Fiji, 1.0,From El Salvador, 23.0,
,,,,Tons to Oman, 1.0,From Ecuador, 21.0,
,,,,Tons to Timor-Leste, 1.0,From Costa Rica, 21.0,
,,,,Tons to Solomon Islands, 0.0,From Comoros, 21.0,
,,,,Tons to China, 0.0,From Thailand, 20.0,
,,,,Tons to Vanuatu, 0.0,From Timor-Leste, 20.0,
,,,,Tons to Japan, 0.0,From Madagascar, 20.0,
,,,,,,From Mexico, 18.0,
,,,,,,From Tanzania, 12.0,
,,,,,,From New Zealand, 11.0,
,,,,,,From Myanmar, 8.0,
,,,,,,From Colombia, 6.0,
,,,,,,From Sri Lanka, 6.0,
,,,,,,From Taiwan, 5.0,
,,,,,,From United States, 3.0,
,,,,,,From Mauritius, 2.0,
,,,,,,From Reunion, 1.0,
,,,,,,From Brunei, 1.0,
,,,,,,From Kenya, 1.0,
,,,,,,From Trinidad and Tobago, 1.0,
,,,,,,From Bangladesh, 1.0,
,,,,,,From Micronesia, 0.0,
,,,,,,From Kiribati, 0.0,
,,,,,,From Palau, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
bahrain, 81, 1.0, 80.0 
,,,,Tons to Qatar, 33.0,From Kuwait, 28.0,
,,,,Tons to Saudi Arabia, 30.0,From Iran, 7.0,
,,,,Tons to United Arab Emirates, 17.0,From Saudi Arabia, 1.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
bangladesh, 175902, 43896.0, 132006.0 
,,,,Tons to Bangladesh, 51241.0,From Bangladesh, 51241.0,
,,,,Tons to Myanmar, 49765.0,From India, 34569.0,
,,,,Tons to India, 19297.0,From Myanmar, 6978.0,
,,,,Tons to Indonesia, 5100.0,From Malaysia, 6829.0,
,,,,Tons to Thailand, 3933.0,From Philippines, 2800.0,
,,,,Tons to Sri Lanka, 1257.0,From Indonesia, 2665.0,
,,,,Tons to Malaysia, 275.0,From Tanzania, 1607.0,
,,,,Tons to Mozambique, 271.0,From Sri Lanka, 1381.0,
,,,,Tons to Tanzania, 212.0,From Thailand, 708.0,
,,,,Tons to Madagascar, 183.0,From China, 482.0,
,,,,Tons to Kenya, 144.0,From Vietnam, 464.0,
,,,,Tons to Somalia, 112.0,From Pakistan, 392.0,
,,,,Tons to Yemen, 90.0,From Comoros, 184.0,
,,,,Tons to South Africa, 52.0,From Kenya, 137.0,
,,,,Tons to Saudi Arabia, 30.0,From Mozambique, 52.0,
,,,,Tons to Oman, 20.0,From Yemen, 40.0,
,,,,Tons to China, 12.0,From Taiwan, 34.0,
,,,,Tons to Philippines, 8.0,From Timor-Leste, 18.0,
,,,,Tons to Sudan, 2.0,From Hong Kong, 8.0,
