,BeachCountry,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
809,Italy,"Marina di Curinga, 88022 Curinga, Italie",Mediterranean Sea,88,,,,15.0,,10.0,,,,,,,,,,,,,,,,,,,200.0,,,,,2.0,,,30.0,,,,,,,,,,,,5.0,,,,3.0,,,,,,,,,,,,,,3.0,,,,,50.0,,10.0,,,,,,,,,,,,100.0,,,,,60.0,,,,,,,,,6.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,8.0,,,,,,,,20.0,,,
810,Spain,"Punta del Riu, Tarragona",Mediterranean Sea,100,Sandy,,130.0,,,40.0,,15.0,,,,,,,,,,,,,,,,,50.0,,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,39.0,,,,1.0,,,,,,,2.0,,,,,,,,4.0,,,,,3.0,,,,,40.0,,,,3.0,,,,,,,,,20.0,,,,,,,,,,5.0,,,,,,,,,,10.0,,,,1.0,,,,,,,
811,Germany,"1 Am Hafen, 17509 Lubmin, Allemagne",Baltic Sea,64,,,15.0,,,5.0,,,1.0,,,,,,,,,,4.0,,,,,2.0,40.0,,,10.0,1.0,,1.0,,,,,,,,,,,,,,5.0,,,,,,,2.0,,,,,,,,,,,1.0,,,,,5.0,,5.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,
812,Denmark,Moesgård Strand,Baltic Sea,931,Sandy,,7.0,9.0,,,,,6.0,,,,,,,,,,3.0,,,,,1.0,104.0,,,71.0,,2.0,17.0,10.0,10.0,,2.0,1.0,,,,,,,,,5.0,,1.0,,,,,,,,,,,1.0,52.0,,,,,,7.0,2.0,,,,13.0,,,,,,,,,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,4.0,1.0,,1.0,2.0,,,,3.0,,,,2.0,2.0,3.0,,,17.0,,,,,,,,,,1.0,,,,15.0,,19.0,4.0,,,,,,,,,,,1.0,,,,10.0,3.0,6.0,,,,,,,,19.0,,1.0,
813,Denmark,Moesgård Strand,Baltic Sea,931,Sandy,,0.0,13.0,,1.0,0.0,,6.0,,,,,,,,,,7.0,,2.0,,,1.0,302.0,,,39.0,1.0,2.0,3.0,12.0,2.0,,,,,,,,0.0,,,,0.0,,1.0,,,,,2.0,,,,,,,,,,2.0,2.0,,0.0,0.0,,5.0,,0.0,4.0,,,,,,,,,,,1.0,3.0,,1.0,,,1.0,,0.0,,,,,,,,,,5.0,,,,,,,,,3.0,,,,,2.0,3.0,2.0,,25.0,,,,,,,,6.0,,,,,,3.0,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,
814,Denmark,Kærgård Strand,North-east Atlantic Ocean,2678,,1.0,24.0,,,15.0,,,13.0,,2.0,,,,2.0,,,,42.0,,,,,1.0,12.0,,,9.0,,,,1.0,13.0,,,,9.0,,,,,,,,4.0,,,,,,,2.0,,,,,,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,22.0,,,,,,,,,,2.0,,,,,13.0,,,,,,,,,,,,,,,,5.0,,,,,1.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
815,Bulgaria,durankulak,Black Sea,249,Sandy,,2.0,32.0,,7.0,6.0,,18.0,2.0,1.0,,,,,,,,2.0,,1.0,,,1.0,682.0,,,11.0,,1.0,24.0,3.0,13.0,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,2.0,6.0,,,,,,,1.0,8.0,,13.0,,,3.0,,1.0,,28.0,1.0,,,3.0,,,,6.0,,,,,,8.0,,,3.0,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,
816,Bulgaria,durankulak,Black Sea,249,Sandy,,1.0,11.0,,18.0,38.0,,,,,,,1.0,,,1.0,1.0,21.0,23.0,,27.0,,1.0,10.0,,,3.0,2.0,3.0,10.0,,,,1.0,,1.0,,4.0,,1.0,,,7.0,,1.0,,,2.0,,,,1.0,,,,,,,,,4.0,1.0,,1.0,11.0,9.0,3.0,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,2.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,2.0,6.0,,,,,,,3.0,,,,,,,,1.0,1.0,11.0,,2.0,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,2.0,
817,Bulgaria,durankulak,Black Sea,249,Sandy,,3.0,3.0,5.0,16.0,33.0,,2.0,2.0,5.0,4.0,,1.0,,,,,18.0,,15.0,,,,52.0,,,76.0,,3.0,59.0,36.0,4.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,40.0,2.0,12.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,7.0,1.0,1.0,,,,,,,,4.0,2.0,,,,,,,,1.0,,4.0,,,9.0,,8.0,,19.0,5.0,,1.0,,2.0,,,,,,5.0,,1.0,12.0,,2.0,3.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,2.0,,
818,France,"6 Avenue des Sables, 33121 Carcans, France",North-east Atlantic Ocean,750,,,800.0,,,23.0,17.0,,15.0,,,5.0,,,,,,,242.0,,,,,17.0,150.0,,,56.0,36.0,5.0,15.0,23.0,36.0,,,,,,,,,67.0,,,650.0,,,,800.0,,,,,,,,,,,,,134.0,17.0,,,,,850.0,,23.0,,,,,,,,,,,,75.0,,,,,40.0,,,,5.0,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,18.0,,,0.0
819,Italy,"Lido San Tommaso, Fermo (AP)",Mediterranean Sea,100,,,5.0,,,5.0,11.0,11.0,,,,,,,,,,,27.0,8.0,,,,2.0,,2.0,1.0,,,,7.0,,6.0,,,,,,,,27.0,,,,,,,,,,3.0,,,,,,,,,,,49.0,,,6.0,,,50.0,7.0,8.0,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,6.0,5.0,,,,,,3.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,
820,,"28B Avenue Claude Vignon, 06230 Saint-Jean-Cap-Ferrat, France",Mediterranean Sea,350,,,64.0,,,,,,,,,,,,,,,,2.0,,,,,,15.0,,,,9.0,,,23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
821,France,"3 Rue du Ch?telet, 22750 Saint-Jacut-de-la-Mer, France",North-east Atlantic Ocean,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
822,Romania,Costine?ti,Black Sea,103,Sandy,,,40.0,,44.0,25.0,,41.0,7.0,2.0,,,,,,,,72.0,35.0,12.0,10.0,47.0,4.0,1528.0,2.0,,186.0,11.0,6.0,52.0,13.0,131.0,8.0,2.0,,,,,,,,,1.0,5.0,,9.0,3.0,,,,,,,,,1.0,6.0,2.0,,,,,,16.0,3.0,,35.0,,14.0,,,,,,,4.0,,,,1.0,5.0,,,,,2.0,,1.0,4.0,3.0,1.0,,,,,,,3.0,14.0,2.0,2.0,1.0,,,1.0,,2.0,23.0,,13.0,4.0,4.0,21.0,86.0,7.0,,,297.0,7.0,,23.0,,,,,,,24.0,3.0,,40.0,2.0,,41.0,,,,,,8.0,,,,,3.0,,,1.0,6.0,,102.0,,,,3.0,,,,,1.0,1.0,
823,Spain,"Masnou, Barcelona",Mediterranean Sea,100,Sandy,4.0,190.0,,,3.0,,,10.0,,,,1.0,,,,,,9.0,,,,,,19.0,,,7.0,,,,,11.0,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,2.0,20.0,,,,,,16.0,,,6.0,2.0,,,,,,,,,,,,,2.0,12.0,,,,1.0,,,0.0,1.0,,,,,,,,,,2.0,,,,,,,,,,4.0,11.0,,6.0,,,,,1.0,3.0,,,,,,3.0,,,,,1.0,13.0,9.0,4.0,1.0,,2.0,,1.0,,,,,,3.0,,,,,1.0,1.0,3.0,,,,1.0,,,,,4.0,,
824,France,"1, Place du Général de Gaulle, 56740 Locmariaquer, France",North-east Atlantic Ocean,75,,,20.0,,,20.0,20.0,,20.0,,,,,,,,,,20.0,,,,,,20.0,,,20.0,20.0,2.0,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,20.0,,,
825,Italy,Sant'Anna Arresi Porto Pino,Mediterranean Sea,99,,6.0,17.0,17.0,17.0,6.0,6.0,2.0,6.0,2.0,2.0,,,,,4.0,,,6.0,6.0,6.0,6.0,4.0,3.0,21.0,3.0,1.0,6.0,6.0,,6.0,6.0,6.0,1.0,1.0,,,2.0,2.0,4.0,2.0,2.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,,,4.0,4.0,12.0,12.0,,4.0,4.0,4.0,4.0,4.0,,4.0,7.0,4.0,15.0,,,,2.0,2.0,,1.0,4.0,2.0,2.0,,,,,,,,4.0,,,,,,5.0,,,5.0,,1.0,,,,,1.0,2.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,2.0,2.0,2.0,2.0,1.0,
826,Denmark,MSFD Langerak,North-east Atlantic Ocean,100,Sandy,,5.0,11.0,,2.0,,,5.0,,,1.0,,,,1.0,,3.0,3.0,3.0,6.0,1.0,3.0,,,,,32.0,,1.0,8.0,,3.0,,,,2.0,,3.0,,,,,,13.0,,,,,,,,,,,,,2.0,19.0,1.0,,12.0,,,67.0,,,289.0,,16.0,,1.0,,,2.0,,,,,,,2.0,1.0,,,,,,,4.0,1.0,1.0,,,,,,,,1.0,,,,2.0,,,,,3.0,,,,,,2.0,,,1.0,,,,,,,,,,,6.0,,,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,6.0,,,,4.0,,,,2.0,,,
827,Italy,"Spiaggia dell Oasi dei Variconi, Castel Volturno (CE)",Mediterranean Sea,100,,15.0,12.0,35.0,2.0,68.0,201.0,121.0,64.0,18.0,95.0,34.0,21.0,6.0,12.0,1.0,16.0,4.0,85.0,34.0,3.0,42.0,6.0,4.0,19.0,4.0,6.0,17.0,2.0,6.0,6.0,6.0,,11.0,12.0,9.0,2.0,,2.0,,,,4.0,2.0,6.0,,6.0,4.0,2.0,2.0,85.0,6.0,2.0,,,4.0,4.0,2.0,6.0,6.0,,2.0,8.0,,45.0,,,74.0,12.0,285.0,14.0,3.0,,,1.0,,1.0,6.0,,,,12.0,4.0,3.0,1.0,2.0,3.0,,6.0,26.0,1.0,6.0,2.0,6.0,,,4.0,,,7.0,2.0,10.0,1.0,,4.0,2.0,,,9.0,6.0,4.0,2.0,1.0,1.0,4.0,2.0,,25.0,5.0,2.0,,4.0,2.0,,4.0,2.0,,,32.0,15.0,26.0,21.0,12.0,7.0,26.0,,2.0,6.0,2.0,1.0,6.0,4.0,2.0,4.0,,,2.0,3.0,4.0,10.0,7.0,75.0,,7.0,25.0,3.0,1.0,,,6.0,4.0,15.0,6.0
828,France,"Kernavéno Crozon, 29160 Crozon, France",North-east Atlantic Ocean,74,,,30.0,,,,9.0,,10.0,,,,,,,,,,40.0,,,,,3.0,15.0,,,50.0,10.0,,,,,,,,,,,,,,,,90.0,,,,30.0,,,,,,,,,,,,,7.0,4.0,,,,,,,30.0,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,80.0,,,
829,France,"Rue des Sables Blancs, 29900 Concarneau, France",North-east Atlantic Ocean,74,,,30.0,,,8.0,12.0,,28.0,,,,,,,,,,30.0,,,,,7.0,40.0,,,50.0,23.0,,8.0,,17.0,,,,,,,,,,,,30.0,,,,11.0,,,,,,,,,,,,,1.0,3.0,,,,,80.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,30.0,,,
830,Denmark,Amager Strand,North-east Atlantic Ocean,748,Sandy,,,6.0,,3.0,2.0,,10.0,,,,,,,,,,29.0,,,,,,147.0,,,23.0,,,,16.0,8.0,,,,,,,,,,,,18.0,,2.0,,,,,,,,,,,,,,,,,,16.0,39.0,,,,5.0,,,,,,,,,,,,2.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
831,,Nokken Strandvej ,North-east Atlantic Ocean,783,,,81.0,104.0,,15.0,13.0,,10.0,,,,,,,,,,34.0,,,,,,7.0,,,21.0,,,,3.0,16.0,,,,,,,,0.0,,,,11.0,,4.0,,,,,,,,,,,,,,,,,,2.0,77.0,,,,12.0,,,,,,,,,,,,0.0,,,,,,,,129.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
832,Ireland,carne 1000m,North-east Atlantic Ocean,747,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,2.0,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,3.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
833,,"Unnamed Road, 29160 Crozon, France",North-east Atlantic Ocean,1600,,,103.0,,,3.0,31.0,,15.0,,,1.0,,,,,,,140.0,,,,,2.0,57.0,,,60.0,26.0,3.0,4.0,,3.0,,,,,,,,,8.0,,,100.0,,,,700.0,,,1.0,,,,,,,,,,16.0,2.0,,,,,1400.0,,125.0,,,,,,,,,,,,17.0,,,,,3.0,,,,2.0,,,,,2.0,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,9.0,,,,,,,,,,,,,,,9.0,,7.0,,,,,,,,23.0,,,0.0
834,Switzerland,schiffenensee_duedingen_hirschij,,28,Sandy,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,France,"Plage de, Rue de l'Uhabia, 64210 Bidart, France",North-east Atlantic Ocean,150,,,50.0,,,7.0,5.0,,1.0,,,5.0,,,,,,,180.0,,,,,4.0,4.0,,,70.0,60.0,,3.0,,20.0,,,,,,,,,,,,200.0,,,,,,,15.0,,,,,,,,,,,2.0,,,,,50.0,,65.0,,,,,,,,,,,,60.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,0.0
836,Spain,"3 Urbanitzacio Arenals Mar Sector 1, 17256 Pals, Espagne",Mediterranean Sea,83,,,,1.0,,5.0,,,,,,,,,,,,,3.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,
837,,"Unnamed Road, 35350, 35350 Saint-Coulomb, France",North-east Atlantic Ocean,2000,,,60.0,,,2.0,1.0,,10.0,,,3.0,,,,,,,8.0,,,,,1.0,36.0,,,20.0,6.0,4.0,2.0,,2.0,,,,,,,,,3.0,,,20.0,,,,15.0,,,6.0,,,,,,,,,,1.0,2.0,,,,,30.0,,20.0,,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,8.0,,,,,,,,,,,,,,,30.0,,12.0,,,,,,,,60.0,,,0.0
838,Ireland,Ladies Cove,North-east Atlantic Ocean,53,Pebbels,,,,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
839,,"City Stade, 76600 Le Havre, France",North-east Atlantic Ocean,750,,,37.0,,,5.0,8.0,,56.0,,,3.0,,,,,,,4.0,,,,,,35.0,,,4.0,65.0,,3.0,7.0,1.0,,,,,,,,,,,,11.0,,,,,,,2.0,,,,,,,,,,,3.0,,,,,1.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,10.0,,,,,,,,,,,,,,,3.0,,7.0,,,,,,,,27.0,,,0.0
840,Ireland,long strand,North-east Atlantic Ocean,142,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
841,Ireland,long strand,North-east Atlantic Ocean,142,,,1.0,0.0,,8.0,0.0,,2.0,,,,,,,,,,7.0,,,,,,0.0,,,5.0,,,1.0,2.0,0.0,,,,,,,,0.0,,,3.0,5.0,,0.0,,,,,,,,2.0,,,,,,,,,,0.0,13.0,,,,0.0,,,,,,,,,,,,0.0,1.0,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
842,France,"Saint-Frieux Neufchâtel-Hardelot, 62152 Neufchâtel-Hardelot, France",North-east Atlantic Ocean,70,,,200.0,,,20.0,40.0,,60.0,,,,,,,,,,200.0,,,,,1.0,2.0,,,10.0,30.0,5.0,50.0,7.0,10.0,,,,,,,,,,,,120.0,,,,40.0,,,,,,,,,,,,,30.0,6.0,,,,,5.0,,400.0,,,,,,,,,,,,0.0,,,,,,,,,11.0,,,,,,,,,,16.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,5.0,,,
843,,"Canal Deustu, 11C, 48015 Bilbo, Bizkaia, Espa?a",North-east Atlantic Ocean,350,,,,,,,,,48.0,,,,,,,,,,13.0,,,,,,192.0,,,31.0,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,50.0,,8.0,,,,,,,,,,,,,,,,,1.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,0.0
844,Switzerland,Rhein_Hemishofen_StollL,,33,Pebbels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
845,Switzerland,Rhein_Hemishofen_StollL,,33,Pebbels,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,
846,Switzerland,Rhein_Hemishofen_StollL,,33,Pebbels,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Switzerland,Rhein_Hemishofen_StollL,,33,Pebbels,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Switzerland,reuss_hünenberg_eberhardy,,28,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Switzerland,reuss_hünenberg_eberhardy,,28,Other (mixed),,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,4.0,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,
850,Switzerland,reuss_hünenberg_eberhardy,,28,Other (mixed),,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Switzerland,reuss_hünenberg_eberhardy,,28,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,8.0,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Switzerland,reuss_hünenberg_eberhardy,,28,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,
853,Romania,Costine?ti,Black Sea,103,Sandy,,,29.0,,,6.0,,,,,,,,,,,,,,,,2.0,,24.0,,,6.0,,,1.0,,8.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,2.0,,,,17.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,6.0,,,
854,Romania,Costine?ti,Black Sea,103,Sandy,,2.0,6.0,,5.0,4.0,,1.0,1.0,,,,,,,,,12.0,,2.0,1.0,,,13.0,,,12.0,1.0,,3.0,1.0,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,7.0,,,8.0,,12.0,1.0,,,,,,,,,,,7.0,,,,,,,1.0,2.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,16.0,,,,2.0,,,,,,,
855,Romania,Costine?ti,Black Sea,103,Sandy,,,5.0,,2.0,2.0,,,,,,,,,,,,4.0,2.0,1.0,,1.0,1.0,5.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,5.0,,,3.0,,12.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,8.0,,,1.0,,,,,4.0,,,1.0,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,37.0,,1.0,,1.0,,,,,,,
856,Romania,Costine?ti,Black Sea,103,Sandy,,,,,5.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,
