BeachCountry,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100
Romania,Eforie (Anemone),Black Sea,104,Sandy,,,155.0,2.0,6.0,10.0,,4.0,,,,,,1.0,,,,97.0,37.0,5.0,10.0,,7.0,103.0,,2.0,220.0,13.0,2.0,24.0,3.0,43.0,11.0,,,,,,,,,,2.0,18.0,,1.0,,,,,,,,,,,19.0,1.0,,,,,,10.0,,,366.0,,48.0,,,,,2.0,,3.0,,,,23.0,72.0,,,1.0,1.0,1.0
Switzerland,thunersee_spiez_meierd_1,,29,,,0.0,0.0,,0.0,1.0,,0.0,,,0.0,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,,4.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,0.0,,,,,0.0,3.0,5.0,,,0.0,0.0,,,,,2.0,0.0,9.0,0.0,,,,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,thunersee_spiez_meierd_1,,29,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,3.0,0.0,5.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,thunersee_spiez_meierd_1,,29,,,1.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,1.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0,,0.0,,,,,,,,,,,,0.0,,,,,
Switzerland,thunersee_spiez_meierd_1,,29,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,6.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Switzerland,thur_schwarzenbach_meiliw,,77,Other (mixed),,0.0,3.0,,2.0,2.0,,0.0,,,0.0,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,3.0,,,0.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,thur_schwarzenbach_meiliw,,77,Other (mixed),,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,thur_schwarzenbach_meiliw,,77,Other (mixed),,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Switzerland,thur_schwarzenbach_meiliw,,77,Other (mixed),,1.0,6.0,,3.0,4.0,,2.0,,,0.0,,,,,,,6.0,2.0,0.0,0.0,3.0,0.0,19.0,2.0,,2.0,2.0,1.0,2.0,1.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,1.0,0.0,0.0,,,0.0,1.0,,,,,2.0,0.0,3.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,1.0
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,2.0,6.0,,,,,6.0,,1.0,,,,,,,,6.0,3.0,4.0,,2.0,,,1.0,,7.0,,,3.0,,2.0,,,,1.0,,,,,,,,6.0,,,1.0,,,,,,,,,,2.0,3.0,,,4.0,1.0,,3.0,,,17.0,,6.0,,,,,1.0,,1.0,,1.0,,,5.0,,,1.0,1.0,
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,3.0,,,3.0,,2.0,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,,1.0,,,,1.0,,,2.0,,,8.0,,7.0,,,,,,,,,,,,,,,1.0,,
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,2.0,4.0,,,,,2.0,,,1.0,,,,,,,12.0,,4.0,,1.0,1.0,7.0,,,13.0,,2.0,1.0,,1.0,,,,,,,,,,,,8.0,,,,,,,,,1.0,,,,,4.0,,,1.0,,,8.0,,,21.0,,10.0,,,,,1.0,,,,1.0,,,1.0,,,2.0,,2.0
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,1.0,,1.0,,7.0,1.0,,6.0,,,21.0,,2.0,,,,,1.0,,,,,,,,1.0,,,,
France,Plage de Pramousquier,Mediterranean Sea,204,Sandy,,,,,1.0,,,,,,,,,,,,,2.0,,2.0,,,,5.0,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,10.0,,,,,,,,,1.0,,,,,,,1.0,,,
Switzerland,Reuss,,4,Sandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Portugal,Fonte da Telha,North-east Atlantic Ocean,450,Sandy,,,93.0,,26.0,14.0,,17.0,,,,,,,,,,108.0,,,,,,524.0,,,56.0,,,,,56.0,,,,,,,,,,,,147.0,,29.0,,,,,,,,,,,,,,,,,,21.0,200.0,,,,118.0,,,,,,,,,,,,190.0,,,,,
,"Rue Ren? Gambier, 80450 Camon, France",Unknown,750,,,85.0,,,8.0,12.0,,30.0,,,,,,,,,,52.0,,,,,3.0,1441.0,,,101.0,31.0,15.0,24.0,7.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,34.0,,7.0,,,,,,,,,,,,1.0,,,,,5.0
Greece,Apothika A,Mediterranean Sea,51,Other (mixed),,1.0,,,5.0,3.0,3.0,,1.0,,,,,,,,,10.0,1.0,1.0,2.0,5.0,,62.0,1.0,,11.0,,1.0,11.0,,26.0,1.0,1.0,,,,,,,,,,19.0,,,,,,,2.0,18.0,,,,,3.0,6.0,,,,2.0,,16.0,,,41.0,1.0,29.0,,,,,,,,,,,,,,,,,
France," Les Salins du Lion, 13127 Vitrolles, France",Mediterranean Sea,81,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Croatia,Sakarun,Mediterranean Sea,68,Sandy,,40.0,,,10.0,30.0,,20.0,50.0,10.0,,,,,,,,630.0,,,200.0,,10.0,,50.0,,,,20.0,,60.0,40.0,,,,,,,,230.0,,,,350.0,,,,,,,,,,,,,,,,,,,,10.0,,,999.0,999.0,40.0,,,,,,,30.0,,10.0,,,999.0,,,,50.0,
France,"les glacis, 56360 le palais, France",North-east Atlantic Ocean,75,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,unterdsee_ermatingen_brunkem,,25,Pebbels,,,,,,,,,,,,,,,,,,1.0,,,,,,41.0,,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,10.0,,1.0,,,,,,,2.0,1.0,,,2.0,,,,,,
Switzerland,unterdsee_ermatingen_brunkem,,25,Pebbels,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,22.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Romania,Mangalia - Diana beach,Black Sea,2121,Sandy,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,1.0,,7.0,7.0,,,10.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Romania,Mangalia - Diana beach,Black Sea,2121,Sandy,,0.0,0.0,,0.0,0.0,,1.0,,,,,,,,,,3.0,,,,,,23.0,,,7.0,,,,1.0,2.0,,,,,,15.0,,0.0,,,,3.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,18.0,,,,,,,,,,,,0.0,,,,,
Spain,"Cho Vito, Santa Cruz de Tenerife",North-east Atlantic Ocean,100,Pebbels,1.0,15.0,,,8.0,,,,,,,,,,,,,10.0,,,,,,543.0,,,6.0,,,,,10.0,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,0.0,,,,,,,,,3.0,,,,,,,,,,,,,,,12.0,,,,
Italy,Area Naturale di Foce Bevano,Mediterranean Sea,99,,9.0,12.0,12.0,12.0,9.0,9.0,2.0,9.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,,9.0,9.0,9.0,9.0,6.0,2.0,,,,9.0,9.0,2.0,9.0,9.0,9.0,,,1.0,1.0,46.0,46.0,6.0,46.0,46.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,2.0,3.0,3.0,3.0,2.0,1.0,,,,6.0,,6.0,,,,6.0,6.0,102.0,102.0,2.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,3.0,1.0,30.0,,5.0,,,
France,"Unnamed Road Ploudalmézeau, 29830 Ploudalmézeau, France",North-east Atlantic Ocean,73,,,6.0,,,2.0,8.0,,15.0,,,,,,,,,,15.0,,,,,2.0,8.0,,,18.0,5.0,0.0,10.0,2.0,3.0,,,,,,,,,,,,20.0,,,,3.0,,,2.0,,,,,,,,,,0.0,0.0,,,,,2.0,,2.0,,,,,,,,,,,,1.0,,,,,1.0
Spain,Port des Canonge,Mediterranean Sea,82,Pebbels,,9.0,,,89.0,,,3.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,2.0,16.0,,,,5.0,,,,,,,,,,,,1.0,,,,,
Spain,Port des Canonge,Mediterranean Sea,82,Pebbels,,,4.0,,4.0,1.0,,,,,,,,,,,,8.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,56.0,,,,4.0,,,,,,,,,,,,,,,,,
Spain,Port des Canonge,Mediterranean Sea,82,Pebbels,,9.0,2.0,,89.0,1.0,,4.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,17.0,85.0,,,,7.0,,,,,,,,,,,,1.0,,,,,
Italy,"Spiaggia di Steccato di Cutro, Crotone (KR)",Mediterranean Sea,100,,,5.0,,,,,3.0,,,,,2.0,,,,,,15.0,,,,,1.0,,,,2.0,,,9.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,3.0,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,
,dudyxa,,317866,Sandy,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,"Horcas Coloradas, Melilla",Mediterranean Sea,100,Sandy,,33.0,,,68.0,,,8.0,,,1.0,3.0,,,,,,293.0,,,,,,5.0,,,4.0,,,,,12.0,,,,,,,,,,2.0,,5.0,3.0,,,,,,,,,,,,2.0,4.0,,,,,,,,,88.0,,,,,,,,,,,,,,2.0,11.0,,,,
Italy,"Spiaggia di Albinia, Orbetello (GR)",Mediterranean Sea,100,,,6.0,4.0,,12.0,2.0,,,,1.0,1.0,,,,,1.0,,6.0,,3.0,,6.0,8.0,46.0,,,1.0,,,5.0,2.0,5.0,,,2.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,5.0,,2.0,,,,,,20.0,5.0,4.0,2.0,,,,,,1.0,,,,,6.0,,,,,3.0
Spain,"Cala Tamariua, Girona",Mediterranean Sea,100,Sandy,,40.0,,,120.0,,,30.0,,,100.0,,,,,,,130.0,,,,,,,,,50.0,,,,,40.0,,,,,,,,,,,,15.0,20.0,,,,10.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
Spain,"Cabo de palos, Murcia",Mediterranean Sea,100,Sandy,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,120.0,,,,,,,,5.0,,,,,,,,,,,,8.0,,,,,0.0,,3.0,,,,,,2.0,4.0,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,0.0,,,,
Switzerland,Emme_Utzenstorf_Grüttert,,9,Other (mixed),,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,Emme_Utzenstorf_Grüttert,,9,Other (mixed),,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,Emme_Utzenstorf_Grüttert,,9,Other (mixed),,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,Emme_Utzenstorf_Grüttert,,9,Other (mixed),,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,1.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Russian Federation,Maliy Ahun,Black Sea,104,Pebbels,,5.0,9.0,3.0,8.0,4.0,,,,,,,,,,,,4.0,,,1.0,,,24.0,,,6.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,10.0,,9.0,,,,,,,3.0,,3.0,,,,,,9.0,,,,
Russian Federation,Maliy Ahun,Black Sea,104,Pebbels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Maliy Ahun,Black Sea,104,Pebbels,,7.0,15.0,2.0,3.0,9.0,,5.0,,,,,,,,1.0,,11.0,,2.0,,,1.0,19.0,,1.0,5.0,2.0,,9.0,5.0,,,2.0,,,,,,,,,,3.0,,,,1.0,,,,,1.0,,,,,4.0,,,,1.0,,1.0,1.0,,17.0,,6.0,,,,,2.0,,,,,,,,22.0,,,,
,"Swanwick, downstream universal marina ",North-east Atlantic Ocean,360,,,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,8.0,,,1.0,0.0,0.0,,,,,,,,1.0,,,,0.0,,0.0,,,,,,,,,,,1.0,3.0,,,,,,1.0,0.0,,,,,,,,,2.0,,,,,,,0.0,,,,,
,"College de MATAURA, 98754 TUBUAI, Polynésie française",,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,thunersee_spiez_meierd_1,,29,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,1.0,3.0,0.0,,,,,,0.0,,,,,0.0,0.0,1.0,,,0.0,0.0,,,,,3.0,0.0,3.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,,,0.0,0.0
Switzerland,thunersee_spiez_meierd_1,,29,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,5.0,,,0.0,,,,0.0,1.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,1.0,,,,,,,0.0,1.0,,1.0,,1.0,,,,,,,,,,,,0.0,,,,,
Switzerland,thunersee_spiez_meierd_1,,29,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,4.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,,,,,,,0.0,,,,,
Switzerland,thunersee_spiez_meierd_1,,29,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,0.0,3.0,0.0,,,,,,0.0,,,,,0.0,0.0,4.0,,,0.0,0.0,,,,,3.0,1.0,3.0,0.0,,,,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
,"D138 Saint-?tienne-des-Sorts, 30200 Saint-?tienne-des-Sorts, France",,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Debeli rtic 2 MLW Month,Mediterranean Sea,109,Pebbels,,57.0,,,14.0,4.0,,104.0,,,,,,,,,,,,29.0,,10.0,6.0,616.0,,,,,,15.0,7.0,4.0,,,,,,,,26.0,,,,36.0,,10.0,,,,,2.0,,2.0,,,,,,,,,,,,,,198.0,,167.0,,,,,9.0,,,,,,4.0,2.0,,,,1.0,
Slovenia,Debeli rtic 2 MLW Month,Mediterranean Sea,109,Pebbels,,13.0,,,3.0,,,18.0,,,,,,,,,,,,10.0,,,,8.0,,,,,,2.0,1.0,1.0,,,,,,,,13.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,4.0,,42.0,,,,,,,,,,,,,,,,,
Spain,"375 De Ulia Ibilbidea, 20013 Donostia, Espagne",North-east Atlantic Ocean,81,,,23.0,,,,,,6.0,,,,,,,,,,20.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,13.0,,40.0,,,,,,,,,,,,0.0,,,,,
Switzerland,thur_schwarzenbach_meiliw,,77,Other (mixed),,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,,,,,,0.0,1.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,thur_schwarzenbach_meiliw,,77,Other (mixed),,3.0,2.0,,2.0,1.0,,2.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,2.0,,,3.0,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
Spain,"Passeig Mar?tim de la Barceloneta, 6, 08003 Barcelona, Espa?a",Mediterranean Sea,150,,,13.0,,,10.0,1.0,,1.0,,,,,,,,,,15.0,,,,,,1018.0,,,20.0,4.0,,4.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,32.0,,,,,,,,,,,,41.0,,,,,5.0
Italy,Monachelle Pozzuoli (NA),Mediterranean Sea,100,,,2.0,,,30.0,20.0,1.0,1.0,1.0,,2.0,,1.0,3.0,,,1.0,20.0,1.0,5.0,,15.0,50.0,500.0,,3.0,20.0,10.0,,250.0,100.0,50.0,,,,,,,,,,,,,,10.0,,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,4.0,,,,,,,,1.0,,,,100.0,1.0,2.0,,20.0,
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,9.0,,,,,,,2.0,,,,,,,,,,,,
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,1.0,1.0,,,,,,,,,,,,,,,4.0,,5.0,2.0,2.0,,1.0,,,4.0,,,,,,,,,,,,,,,,,8.0,,1.0,,,,,,,,,,,,3.0,,,,,,2.0,,,32.0,,3.0,,,,,,,,,2.0,,,2.0,1.0,,,,
Denmark,MSFD Kofoeds enge,Baltic Sea,99,Sandy,,1.0,6.0,,,,,3.0,,,,,,,,,1.0,2.0,,,2.0,,,2.0,,,7.0,,1.0,3.0,,1.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,2.0,2.0,,,4.0,,,8.0,,,25.0,,,6.0,,,,1.0,,,,,,,2.0,2.0,,,,
Greece,Beatiful view 2,Mediterranean Sea,89,Sandy,,1.0,5.0,,4.0,,,2.0,,,,,,,,,,8.0,,,,,,4.0,,,,,,,,11.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,,,,,
,"Plage des Hemmes de Marck, Avenue de la Mer, 62730 Marck, France",North-east Atlantic Ocean,2000,,,3.0,,,5.0,5.0,,16.0,,,3.0,,,,,,,20.0,,,,,5.0,50.0,,,20.0,30.0,,5.0,,20.0,,,,,,,,,1.0,,,50.0,,,,20.0,,,20.0,,,,,,,,,,120.0,2.0,,,,,7.0,,,,,,,,,,,,,,50.0,,,,,3.0
Greece,Apothika A,Mediterranean Sea,51,Other (mixed),1.0,4.0,3.0,,19.0,23.0,12.0,4.0,,11.0,,1.0,,3.0,,1.0,,171.0,,69.0,27.0,,2.0,,2.0,,13.0,,2.0,,,112.0,,,,,,,,,,,31.0,111.0,1.0,,,,,,6.0,12.0,2.0,3.0,,,,69.0,,,,3.0,,7.0,,,937.0,18.0,7.0,,,,,,,,,,,4.0,130.0,,,,2.0,
Spain,inpernupe 2,North-east Atlantic Ocean,68,Rocky,,1.0,,,21.0,,,15.0,,,,,,,,,,21.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,2.0,,,128.0,,,,,,,,,,,,,,,,,,,,,
Greece,Spathi@kea,Mediterranean Sea,224,Sandy,,,2.0,,16.0,5.0,,,,,,,,,,,,,,1.0,,,1.0,8.0,,,1.0,,,8.0,8.0,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,
Italy,Spiaggia Torrette di Ancona (AN),Mediterranean Sea,100,,,,3.0,,14.0,14.0,10.0,3.0,9.0,4.0,,,,,1.0,1.0,,47.0,26.0,3.0,,12.0,6.0,60.0,,1.0,,,2.0,3.0,5.0,2.0,,,2.0,2.0,,,,58.0,,,4.0,,,2.0,,,,4.0,,,,,,,,,,,,3.0,,2.0,,,70.0,30.0,,,,,,,,1.0,3.0,,,,10.0,,1.0,,,1.0
Switzerland,Thur_Schoenenberg_SchaerA,,96,Other (mixed),,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Thur_Schoenenberg_SchaerA,,96,Other (mixed),,,,,,,,,,,,,,,,,,,,,,1.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Thur_Schoenenberg_SchaerA,,96,Other (mixed),,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Spain,"AS-239 Carreño, 33430 Candás, Espagne",North-east Atlantic Ocean,81,,,25.0,,,,,,1.0,,,,,,,,,,50.0,,,,,,10.0,,,5.0,,,4.0,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,20.0,,,,,,,,,,,,75.0,,,,,
,Formby point,North-east Atlantic Ocean,722,Sandy,,1.0,8.0,,5.0,,5.0,1.0,,,,1.0,,1.0,3.0,1.0,,8.0,,2.0,,,,,,,62.0,,,,,1.0,1.0,,,1.0,,3.0,,1.0,,,13.0,29.0,,,1.0,,,,,,,,,,,3.0,,,,,,,7.0,,,,2.0,,,,,,,,,,,,,,,,,
,Formby point,North-east Atlantic Ocean,722,Sandy,,2.0,,,28.0,6.0,2.0,18.0,,,,,,,,,,188.0,58.0,10.0,,,8.0,,6.0,,608.0,18.0,6.0,22.0,4.0,32.0,,,,,,,,,,,8.0,26.0,,,,,,,,,,,,,,250.0,,,8.0,,,,484.0,,,30.0,4.0,,,,,,,,18.0,,,,43.0,28.0,,,,
Italy,"Spiaggia Vulpiglia, Pachino (SR)",Mediterranean Sea,100,,,10.0,2.0,7.0,4.0,11.0,8.0,,,7.0,2.0,1.0,,1.0,,,,15.0,,,,,1.0,,,,6.0,,,7.0,9.0,,,,,,,,,,,,2.0,10.0,,,,6.0,1.0,,14.0,,,,,,4.0,,,,,,,,85.0,,,,,,,,,,,,,,,,4.0,,,,,1.0
France,pors gelen,North-east Atlantic Ocean,101,Sandy,,,,,1.0,,,,,,,,,,,,,2.0,,,,,1.0,14.0,,,4.0,5.0,,,,1.0,,,,,,,,1.0,,,,21.0,,,,,,,2.0,,1.0,,,,1.0,,,,,,,1.0,,,56.0,,5.0,,,,,,,,,,,,,,,,,
